State,Medicaid Expansion State?        Yes (Y) or No (N)1,2013 Uninsured Percent,2013 Uninsured Margin of  Error2 (±),2016 Uninsured Percent,2016 Uninsured Margin of  Error2 (±),2017 Uninsured Percent,2017 Uninsured Margin of  Error2 (±),Difference in Uninsured: 2017 less 2016 Percent,Difference in Uninsured: 2017 less 2016 Margin of  Error2 (±),Difference in Uninsured 2017 less 2013 Percent,Difference in Uninsured 2017 less 2013 Margin of  Error2 (±) ,,
,,,,,,,],,,,,,
Alabama,N,13.6,0.4,9.1,0.3,9.4,0.3,0.3,0.5,*-4.2,0.5,,
Alaska,+Y,18.5,1,14,0.9,13.7,0.8,-0.4,1.2,*-4.8,1.3,,
Arizona,Y,17.1,0.4,10,0.3,10.1,0.3,0.1,0.4,*-7.1,0.5,,
Arkansas,Y,16,0.5,7.9,0.4,7.9,0.3,Z,0.5,*-8.1,0.6,,
California,Y,17.2,0.2,7.3,0.1,7.2,0.1,*-0.2,0.1,*-10.0,0.2,,
Colorado,Y,14.1,0.3,7.5,0.3,7.5,0.2,Z,0.4,*-6.6,0.4,,
Connecticut,Y,9.4,0.4,4.9,0.3,5.5,0.3,*0.6,0.5,*-3.9,0.5,,
Delaware,Y,9.1,0.7,5.7,0.5,5.4,0.6,-0.3,0.7,*-3.7,0.9,,
District of Columbia,Y,6.7,0.6,3.9,0.6,3.8,0.6,-0.1,0.9,*-2.8,0.8,,
Florida,N,20,0.2,12.5,0.2,12.9,0.2,*0.4,0.3,*-7.1,0.3,,
Georgia,N,18.8,0.3,12.9,0.3,13.4,0.3,*0.5,0.4,*-5.4,0.4,,
Hawaii,Y,6.7,0.4,3.5,0.4,3.8,0.4,0.3,0.5,*-2.9,0.5,,
Idaho,N,16.2,0.8,10.1,0.5,10.1,0.5,Z,0.7,*-6.0,0.9,,
Illinois,Y,12.7,0.2,6.5,0.2,6.8,0.2,*0.3,0.2,*-5.9,0.3,,
Indiana,+Y,14,0.3,8.1,0.3,8.2,0.3,0.1,0.4,*-5.8,0.4,,
Iowa,Y,8.1,0.3,4.3,0.2,4.7,0.3,*0.4,0.4,*-3.4,0.4,,
Kansas,N,12.3,0.4,8.7,0.3,8.7,0.4,Z,0.5,*-3.5,0.6,,
Kentucky,Y,14.3,0.3,5.1,0.2,5.4,0.3,0.3,0.4,*-8.9,0.4,,
Louisiana,#Y,16.6,0.4,10.3,0.4,8.4,0.3,*-1.9,0.5,*-8.3,0.5,,
Maine,N,11.2,0.5,8,0.5,8.1,0.5,0.1,0.7,*-3.1,0.7,,
Maryland,Y,10.2,0.3,6.1,0.3,6.1,0.2,Z,0.4,*-4.0,0.4,,
Massachusetts,Y,3.7,0.2,2.5,0.2,2.8,0.1,*0.3,0.2,*-0.9,0.2,,
Michigan,^Y,11,0.2,5.4,0.1,5.2,0.2,-0.2,0.2,*-5.8,0.2,,
Minnesota,Y,8.2,0.3,4.1,0.2,4.4,0.2,*0.3,0.3,*-3.8,0.3,,
Mississippi,N,17.1,0.5,11.8,0.4,12,0.5,0.2,0.7,*-5.0,0.7,,
Missouri,N,13,0.3,8.9,0.2,9.1,0.3,0.2,0.4,*-3.9,0.4,,
Montana,+Y,16.5,0.8,8.1,0.5,8.5,0.5,0.3,0.8,*-8.0,0.9,,
Nebraska,N,11.3,0.5,8.6,0.5,8.3,0.4,-0.3,0.6,*-3.0,0.6,,
Nevada,Y,20.7,0.6,11.4,0.5,11.2,0.4,-0.1,0.6,*-9.4,0.8,,
New Hampshire,^Y,10.7,0.5,5.9,0.4,5.8,0.4,-0.1,0.6,*-4.9,0.7,,
New Jersey,Y,13.2,0.2,8,0.2,7.7,0.2,-0.2,0.3,*-5.5,0.3,,
New Mexico,Y,18.6,0.6,9.2,0.5,9.1,0.6,-0.1,0.8,*-9.5,0.9,,
New York,Y,10.7,0.2,6.1,0.1,5.7,0.1,*-0.4,0.2,*-5.0,0.2,,
North Carolina,N,15.6,0.3,10.4,0.2,10.7,0.2,0.3,0.3,*-5.0,0.4,,
North Dakota,Y,10.4,0.8,7,0.6,7.5,0.6,0.5,0.9,*-2.8,1,,
Ohio,Y,11,0.2,5.6,0.2,6,0.2,*0.3,0.2,*-5.1,0.3,,
Oklahoma,N,17.7,0.3,13.8,0.3,14.2,0.3,0.4,0.4,*-3.5,0.5,,
Oregon,Y,14.7,0.4,6.2,0.2,6.8,0.3,*0.6,0.4,*-7.8,0.5,,
Pennsylvania,^Y,9.7,0.2,5.6,0.2,5.5,0.2,-0.1,0.2,*-4.2,0.2,,
Rhode Island,Y,11.6,0.7,4.3,0.5,4.6,0.4,0.3,0.6,*-7.0,0.8,,
South Carolina,N,15.8,0.4,10,0.3,11,0.3,*1.0,0.4,*-4.8,0.5,,
South Dakota,N,11.3,0.7,8.7,0.5,9.1,0.6,0.3,0.8,*-2.2,0.9,,
Tennessee,N,13.9,0.3,9,0.2,9.5,0.3,*0.5,0.4,*-4.4,0.4,,
Texas,N,22.1,0.2,16.6,0.2,17.3,0.2,*0.7,0.3,*-4.8,0.3,,
Utah,N,14,0.5,8.8,0.4,9.2,0.4,0.4,0.6,*-4.8,0.6,,
Vermont,Y,7.2,0.6,3.7,0.4,4.6,0.4,*0.8,0.6,*-2.7,0.8,,
Virginia,N,12.3,0.3,8.7,0.3,8.8,0.3,0.1,0.4,*-3.5,0.4,,
Washington,Y,14,0.3,6,0.2,6.1,0.2,0.2,0.3,*-7.9,0.4,,
West Virginia,Y,14,0.5,5.3,0.3,6.1,0.4,*0.8,0.5,*-7.9,0.7,,
Wisconsin,N,9.1,0.2,5.3,0.2,5.4,0.2,0.1,0.3,*-3.7,0.3,,
Wyoming,N,13.4,0.9,11.5,1,12.3,1.2,0.7,1.6,*-1.2,1.5,,
